internal_player_id,draft_command_board_rank,canonical_player_id,gsis_id,espn_id,display_name,normalized_name,position,current_team,consensus_source_team,team_conflict_preserved,identity_method,identity_confidence,consensus_join_key,consensus_join_status
1,1,00-0039139,00-0039139,4429795,Jahmyr Gibbs,jahmyrgibbs,RB,DET,DET,false,espn-id,1.0,jahmyrgibbs|RB,MATCHED_CANONICAL_NAME_POSITION
2,2,00-0038542,00-0038542,4430807,Bijan Robinson,bijanrobinson,RB,ATL,ATL,false,espn-id,1.0,bijanrobinson|RB,MATCHED_CANONICAL_NAME_POSITION
3,3,00-0036900,00-0036900,4362628,Ja'Marr Chase,jamarrchase,WR,CIN,CIN,false,espn-id,1.0,jamarrchase|WR,MATCHED_CANONICAL_NAME_POSITION
4,4,00-0039075,00-0039075,4426515,Puka Nacua,pukanacua,WR,LAR,LAR,false,espn-id,1.0,pukanacua|WR,MATCHED_CANONICAL_NAME_POSITION
5,5,00-0033280,00-0033280,3117251,Christian McCaffrey,christianmccaffrey,RB,SF,SF,false,espn-id,1.0,christianmccaffrey|RB,MATCHED_CANONICAL_NAME_POSITION
6,6,00-0036223,00-0036223,4242335,Jonathan Taylor,jonathantaylor,RB,IND,IND,false,espn-id,1.0,jonathantaylor|RB,MATCHED_CANONICAL_NAME_POSITION
7,7,00-0038543,00-0038543,4430878,Jaxon Smith-Njigba,jaxonsmithnjigba,WR,SEA,SEA,false,espn-id,1.0,jaxonsmithnjigba|WR,MATCHED_CANONICAL_NAME_POSITION
8,8,00-0036963,00-0036963,4374302,Amon-Ra St. Brown,amonrastbrown,WR,DET,DET,false,espn-id,1.0,amonrastbrown|WR,MATCHED_CANONICAL_NAME_POSITION
9,9,00-0037248,00-0037248,4379399,James Cook,jamescook,RB,BUF,BUF,false,espn-id,1.0,jamescook|RB,MATCHED_CANONICAL_NAME_POSITION
10,10,00-0036358,00-0036358,4241389,CeeDee Lamb,ceedeelamb,WR,DAL,DAL,false,espn-id,1.0,ceedeelamb|WR,MATCHED_CANONICAL_NAME_POSITION
11,11,00-0036322,00-0036322,4262921,Justin Jefferson,justinjefferson,WR,MIN,MIN,false,espn-id,1.0,justinjefferson|WR,MATCHED_CANONICAL_NAME_POSITION
12,12,00-0039040,00-0039040,4429160,De'Von Achane,devonachane,RB,MIA,MIA,false,espn-id,1.0,devonachane|RB,MATCHED_CANONICAL_NAME_POSITION
13,13,00-0034844,00-0034844,3929630,Saquon Barkley,saquonbarkley,RB,PHI,PHI,false,espn-id,1.0,saquonbarkley|RB,MATCHED_CANONICAL_NAME_POSITION
14,14,00-0038597,00-0038597,4362238,Chase Brown,chasebrown,RB,CIN,CIN,false,espn-id,1.0,chasebrown|RB,MATCHED_CANONICAL_NAME_POSITION
15,15,00-0040666,00-0040666,4685382,Omarion Hampton,omarionhampton,RB,LAC,LAC,false,espn-id,1.0,omarionhampton|RB,MATCHED_CANONICAL_NAME_POSITION
16,16,00-0032764,00-0032764,3043078,Derrick Henry,derrickhenry,RB,BAL,BAL,false,espn-id,1.0,derrickhenry|RB,MATCHED_CANONICAL_NAME_POSITION
17,17,00-0037238,00-0037238,4426502,Drake London,drakelondon,WR,ATL,ATL,false,espn-id,1.0,drakelondon|WR,MATCHED_CANONICAL_NAME_POSITION
18,18,00-0040122,00-0040122,4890973,Ashton Jeanty,ashtonjeanty,RB,LV,LV,false,espn-id,1.0,ashtonjeanty|RB,MATCHED_CANONICAL_NAME_POSITION
19,19,00-0038134,00-0038134,4567048,Kenneth Walker III,kennethwalker,RB,KC,KC,false,espn-id,1.0,kennethwalker|RB,MATCHED_CANONICAL_NAME_POSITION
20,20,00-0035676,00-0035676,4047646,A.J. Brown,ajbrown,WR,NE,NE,false,espn-id,1.0,ajbrown|WR,MATCHED_CANONICAL_NAME_POSITION
21,21,00-0039338,00-0039338,4432665,Brock Bowers,brockbowers,TE,LV,LV,false,espn-id,1.0,brockbowers|TE,MATCHED_CANONICAL_NAME_POSITION
22,22,00-0036554,00-0036554,4258173,Nico Collins,nicocollins,WR,HOU,HOU,false,espn-id,1.0,nicocollins|WR,MATCHED_CANONICAL_NAME_POSITION
23,23,00-0037744,00-0037744,4361307,Trey McBride,treymcbride,TE,ARI,ARI,false,espn-id,1.0,treymcbride|TE,MATCHED_CANONICAL_NAME_POSITION
24,24,00-0037247,00-0037247,4426354,George Pickens,georgepickens,WR,DAL,DAL,false,espn-id,1.0,georgepickens|WR,MATCHED_CANONICAL_NAME_POSITION
25,25,00-0034857,00-0034857,3918298,Josh Allen,joshallen,QB,BUF,BUF,false,espn-id,1.0,joshallen|QB,MATCHED_CANONICAL_NAME_POSITION
26,26,00-0037239,00-0037239,4361370,Chris Olave,chrisolave,WR,NO,NO,false,espn-id,1.0,chrisolave|WR,MATCHED_CANONICAL_NAME_POSITION
27,27,00-0041027,00-0041027,4870808,Jeremiyah Love,jeremiyahlove,RB,ARI,ARI,false,espn-id,1.0,jeremiyahlove|RB,MATCHED_CANONICAL_NAME_POSITION
28,28,00-0039337,00-0039337,4595348,Malik Nabers,maliknabers,WR,NYG,NYG,false,espn-id,1.0,maliknabers|WR,MATCHED_CANONICAL_NAME_POSITION
29,29,00-0037840,00-0037840,4430737,Kyren Williams,kyrenwilliams,RB,LAR,LAR,false,espn-id,1.0,kyrenwilliams|RB,MATCHED_CANONICAL_NAME_POSITION
30,30,00-0039067,00-0039067,4428331,Rashee Rice,rasheerice,WR,KC,KC,false,espn-id,1.0,rasheerice|WR,MATCHED_CANONICAL_NAME_POSITION
31,31,00-0038120,00-0038120,4427366,Breece Hall,breecehall,RB,NYJ,NYJ,false,espn-id,1.0,breecehall|RB,MATCHED_CANONICAL_NAME_POSITION
32,32,00-0036912,00-0036912,4241478,DeVonta Smith,devontasmith,WR,PHI,PHI,false,espn-id,1.0,devontasmith|WR,MATCHED_CANONICAL_NAME_POSITION
33,33,00-0036997,00-0036997,4361579,Javonte Williams,javontewilliams,RB,DAL,DAL,false,espn-id,1.0,javontewilliams|RB,MATCHED_CANONICAL_NAME_POSITION
34,34,00-0035700,00-0035700,4047365,Josh Jacobs,joshjacobs,RB,GB,GB,false,espn-id,1.0,joshjacobs|RB,MATCHED_CANONICAL_NAME_POSITION
35,35,00-0036410,00-0036410,4239993,Tee Higgins,teehiggins,WR,CIN,CIN,false,espn-id,1.0,teehiggins|WR,MATCHED_CANONICAL_NAME_POSITION
36,36,00-0040124,00-0040124,4685472,Tetairoa McMillan,tetairoamcmillan,WR,CAR,CAR,false,espn-id,1.0,tetairoamcmillan|WR,MATCHED_CANONICAL_NAME_POSITION
