scope,position,draft_command_rows,matched_projection_rows,unmatched_projection_rows,coverage_pct,coverage_gate
TOP_50,ALL,50,50,0,100.00,PASS
TOP_50,QB,2,2,0,100.00,PASS
TOP_50,RB,22,22,0,100.00,PASS
TOP_50,WR,22,22,0,100.00,PASS
TOP_50,TE,4,4,0,100.00,PASS
TOP_100,ALL,100,100,0,100.00,PASS
TOP_100,QB,11,11,0,100.00,PASS
TOP_100,RB,37,37,0,100.00,PASS
TOP_100,WR,43,43,0,100.00,PASS
TOP_100,TE,9,9,0,100.00,PASS
TOP_150,ALL,150,149,1,99.33,PASS
TOP_150,QB,21,21,0,100.00,PASS
TOP_150,RB,50,50,0,100.00,PASS
TOP_150,WR,61,60,1,98.36,PASS
TOP_150,TE,18,18,0,100.00,PASS
TOP_200,ALL,200,199,1,99.50,PASS
TOP_200,QB,27,27,0,100.00,PASS
TOP_200,RB,65,65,0,100.00,PASS
TOP_200,WR,82,81,1,98.78,PASS
TOP_200,TE,26,26,0,100.00,PASS
ALL_BOARD,ALL,200,199,1,99.50,PASS
ALL_BOARD,QB,27,27,0,100.00,PASS
ALL_BOARD,RB,65,65,0,100.00,PASS
ALL_BOARD,WR,82,81,1,98.78,PASS
ALL_BOARD,TE,26,26,0,100.00,PASS
