canonical_name,source_name,nfl_team,position,passing_attempts,passing_completions,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receptions,receiving_yards,receiving_touchdowns,fumbles_lost,source_provided_fantasy_points,standardized_full_ppr_points,identity_match_method,identity_match_confidence,source_url,source_version,capture_timestamp,source_state,missing_field_indicators
Josh Allen,Josh Allen,BUF,QB,491.7,333.1,3812.8,27.4,11.2,118.1,585.5,11.8,,,,4.1,372.2,360.862,exact_name_position_team,1.000,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
Drake Maye,Drake Maye,NE,QB,503.9,346.0,4063.5,28.3,10.4,100.3,505.2,3.7,,,,5.6,326.9,316.460,exact_name_position_team,1.000,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
Lamar Jackson,Lamar Jackson,BAL,QB,448.7,291.6,3649.8,28.3,9.6,118.4,639.8,3.2,,,,4.2,324.6,314.772,exact_name_position_team,1.000,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
Jayden Daniels,Jayden Daniels,WAS,QB,495.4,323.5,3697.1,24.1,11.0,130.0,685.3,4.7,,,,2.8,324.5,313.414,exact_name_position_team,1.000,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
Jalen Hurts,Jalen Hurts,PHI,QB,488.0,316.9,3571.0,24.2,7.4,111.8,461.3,8.4,,,,4.0,320.5,313.370,exact_name_position_team,1.000,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
Jaxson Dart,Jaxson Dart,NYG,QB,510.0,324.8,3592.9,22.6,11.1,100.9,549.4,6.5,,,,2.9,311.5,300.056,exact_name_position_team,1.000,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
Joe Burrow,Joe Burrow,CIN,QB,589.8,394.4,4169.8,33.3,11.6,48.3,179.0,1.4,,,,1.9,310.6,299.292,exact_name_position_team,1.000,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
Brock Purdy,Brock Purdy,SF,QB,542.5,366.3,4119.6,27.7,14.3,70.5,304.1,3.9,,,,4.3,306.2,292.194,exact_name_position_team,1.000,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
Dak Prescott,Dak Prescott,DAL,QB,582.3,384.6,4294.0,30.9,11.3,49.1,173.3,1.7,,,,2.8,306.0,294.690,exact_name_position_team,1.000,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
Trevor Lawrence,Trevor Lawrence,JAC,QB,545.5,335.4,3892.9,26.6,13.0,72.5,321.1,4.9,,,,3.4,303.9,290.826,exact_name_position_team,1.000,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
Patrick Mahomes,Patrick Mahomes II,KC,QB,554.7,353.3,3832.6,27.4,11.6,60.4,359.1,3.4,,,,2.0,303.6,292.014,normalized_name_position_team,0.995,https://www.dropbox.com/scl/fi/jz9ao02y3xn61bbt469f7/2026_FantasyFootball_0.4_elboberto.xlsm?rlkey=vk0kb2nhf2wel5453erzu4wo9&st=szgxu53i&dl=1,ElBoberto 2026 v0.4; workbook modified 2026-08-08T13:32:00Z,2026-09-01T00:59:51Z,FROZEN_CANONICAL_SAME_FAMILY_WORKBOOK_DIRECT_CAPTURE_INCOMPLETE,receptions|receiving_yards|receiving_touchdowns
