source_order,source_name,source_team,position,normalized_name,canonical_name,draft_command_id,draft_command_name,draft_command_team,draft_command_board_order,match_method,match_confidence,join_state
1,Josh Allen,BUF,QB,joshallen,Josh Allen,25,Josh Allen,BUF,25,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
2,Drake Maye,NE,QB,drakemaye,Drake Maye,56,Drake Maye,NE,56,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
3,Lamar Jackson,BAL,QB,lamarjackson,Lamar Jackson,44,Lamar Jackson,BAL,44,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
4,Jayden Daniels,WAS,QB,jaydendaniels,Jayden Daniels,60,Jayden Daniels,WAS,60,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
5,Jalen Hurts,PHI,QB,jalenhurts,Jalen Hurts,64,Jalen Hurts,PHI,64,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
6,Jaxson Dart,NYG,QB,jaxsondart,Jaxson Dart,90,Jaxson Dart,NYG,90,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
7,Joe Burrow,CIN,QB,joeburrow,Joe Burrow,59,Joe Burrow,CIN,59,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
8,Brock Purdy,SF,QB,brockpurdy,Brock Purdy,104,Brock Purdy,SF,104,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
9,Dak Prescott,DAL,QB,dakprescott,Dak Prescott,75,Dak Prescott,DAL,75,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
10,Trevor Lawrence,JAC,QB,trevorlawrence,Trevor Lawrence,87,Trevor Lawrence,JAC,87,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
11,Patrick Mahomes II,KC,QB,patrickmahomes,Patrick Mahomes,112,Patrick Mahomes,KC,112,normalized_name_position_team,0.995,MATCHED_DRAFT_COMMAND
12,Justin Herbert,LAC,QB,justinherbert,Justin Herbert,80,Justin Herbert,LAC,80,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
13,Caleb Williams,CHI,QB,calebwilliams,Caleb Williams,79,Caleb Williams,CHI,79,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
14,Bo Nix,DEN,QB,bonix,Bo Nix,113,Bo Nix,DEN,113,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
15,Matthew Stafford,LAR,QB,matthewstafford,Matthew Stafford,106,Matthew Stafford,LAR,106,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
16,Jared Goff,DET,QB,jaredgoff,Jared Goff,124,Jared Goff,DET,124,exact_name_position_team,1.000,MATCHED_DRAFT_COMMAND
