position,canonical_name,direct_source_name,workbook_source_name,direct_team,workbook_team,direct_update_timestamp,workbook_modified_timestamp,direct_standardized_full_ppr_points,workbook_standardized_full_ppr_points,difference_direct_minus_workbook,component_differences_json
QB,Josh Allen,Josh Allen,Josh Allen,BUF,BUF,2026-08-31 15:07:24,2026-08-08T13:32:00Z,359.530,360.862,-1.332,"{""fumbles_lost"":0.0,""interceptions"":0.0,""passing_attempts"":0.4,""passing_completions"":0.3,""passing_touchdowns"":0.1,""passing_yards"":0.7,""rushing_attempts"":0.0,""rushing_touchdowns"":-0.3,""rushing_yards"":0.4}"
QB,Lamar Jackson,Lamar Jackson,Lamar Jackson,BAL,BAL,2026-08-31 15:07:24,2026-08-08T13:32:00Z,314.890,314.772,0.118,"{""fumbles_lost"":0.0,""interceptions"":0.0,""passing_attempts"":0.2,""passing_completions"":0.0,""passing_touchdowns"":0.0,""passing_yards"":1.7,""rushing_attempts"":0.3,""rushing_touchdowns"":0.0,""rushing_yards"":0.5}"
QB,Jayden Daniels,Jayden Daniels,Jayden Daniels,WAS,WAS,2026-08-31 15:07:24,2026-08-08T13:32:00Z,311.420,313.414,-1.994,"{""fumbles_lost"":0.0,""interceptions"":0.0,""passing_attempts"":-2.6,""passing_completions"":-1.7,""passing_touchdowns"":-0.3,""passing_yards"":-20.1,""rushing_attempts"":0.0,""rushing_touchdowns"":0.0,""rushing_yards"":0.1}"
QB,Drake Maye,Drake Maye,Drake Maye,NE,NE,2026-08-31 15:07:24,2026-08-08T13:32:00Z,310.266,316.460,-6.194,"{""fumbles_lost"":0.0,""interceptions"":0.0,""passing_attempts"":-7.8,""passing_completions"":-5.3,""passing_touchdowns"":-0.6,""passing_yards"":-64.1,""rushing_attempts"":-0.9,""rushing_touchdowns"":0.0,""rushing_yards"":-12.3}"
QB,Jalen Hurts,Jalen Hurts,Jalen Hurts,PHI,PHI,2026-08-31 15:07:24,2026-08-08T13:32:00Z,313.170,313.370,-0.200,"{""fumbles_lost"":0.0,""interceptions"":0.0,""passing_attempts"":0.0,""passing_completions"":-0.1,""passing_touchdowns"":0.0,""passing_yards"":-4.5,""rushing_attempts"":0.0,""rushing_touchdowns"":0.0,""rushing_yards"":-0.2}"
QB,Joe Burrow,Joe Burrow,Joe Burrow,CIN,CIN,2026-08-31 15:07:24,2026-08-08T13:32:00Z,299.446,299.292,0.154,"{""fumbles_lost"":0.0,""interceptions"":0.0,""passing_attempts"":1.7,""passing_completions"":1.4,""passing_touchdowns"":0.0,""passing_yards"":5.1,""rushing_attempts"":-0.1,""rushing_touchdowns"":0.0,""rushing_yards"":-0.5}"
QB,Jaxson Dart,Jaxson Dart,Jaxson Dart,NYG,NYG,2026-08-31 15:07:24,2026-08-08T13:32:00Z,298.782,300.056,-1.274,"{""fumbles_lost"":0.0,""interceptions"":-0.1,""passing_attempts"":-1.0,""passing_completions"":-0.8,""passing_touchdowns"":-0.3,""passing_yards"":-6.6,""rushing_attempts"":0.0,""rushing_touchdowns"":0.0,""rushing_yards"":-0.1}"
QB,Trevor Lawrence,Trevor Lawrence,Trevor Lawrence,JAC,JAC,2026-08-31 15:07:24,2026-08-08T13:32:00Z,293.288,290.826,2.462,"{""fumbles_lost"":0.0,""interceptions"":0.0,""passing_attempts"":0.2,""passing_completions"":0.7,""passing_touchdowns"":0.4,""passing_yards"":19.3,""rushing_attempts"":0.0,""rushing_touchdowns"":0.0,""rushing_yards"":0.9}"
QB,Brock Purdy,Brock Purdy,Brock Purdy,SF,SF,2026-08-31 15:07:24,2026-08-08T13:32:00Z,291.396,292.194,-0.798,"{""fumbles_lost"":0.0,""interceptions"":0.0,""passing_attempts"":5.0,""passing_completions"":3.3,""passing_touchdowns"":-0.4,""passing_yards"":34.3,""rushing_attempts"":0.3,""rushing_touchdowns"":-0.1,""rushing_yards"":0.3}"
QB,Dak Prescott,Dak Prescott,Dak Prescott,DAL,DAL,2026-08-31 15:07:24,2026-08-08T13:32:00Z,294.462,294.690,-0.228,"{""fumbles_lost"":0.0,""interceptions"":0.0,""passing_attempts"":-0.8,""passing_completions"":-0.9,""passing_touchdowns"":0.0,""passing_yards"":-5.7,""rushing_attempts"":0.0,""rushing_touchdowns"":0.0,""rushing_yards"":0.0}"
