gsis_id,canonical_player_id,espn_id,draft_command_id,player_name,position,team,match_method,match_score,identity_conflict_flag,manual_review_flag_x,source,source_timestamp,espn_market_canonical_id,espn_market_mapping_method,name_conflict_flag,position_conflict_flag,normalized_name,canonical_name,historical_current_team,historical_identity_match_method,historical_identity_match_score,historical_identity_conflict_flag,historical_identity_manual_review_flag,historical_identity_provenance,current_status,injury_or_rehab_status,body_part_or_category,surgery_recovery_context,pup_flag,nfi_flag,ir_flag,suspension_status,holdout_reporting_status,expected_week1_availability,expected_return_week,expected_games_adjustment,primary_source,secondary_source,source_date,last_verified_timestamp,source_confidence,material_adjustment_flag,manual_review_flag_y,notes,espn_official_ppr_rank,espn_adp,status_overlay_present,identity_confidence,missing_value_policy
00-0039139,00-0039139,4429795,1,Jahmyr Gibbs,RB,DET,espn_id_to_nflverse_gsis,1.0,False,False,ESPN Market Freeze origin/codex/espn-market-freeze-2026-08-31 + nflverse players,espn_2026_candidate_20260831T214508Z_6e169d4c54c0,draft-command:1,exact stable-ID match,False,False,jahmyrgibbs,Jahmyr Gibbs,DET,panel_gsis_to_nflverse_players,1.0,False,False,nflverse players + annual rosters; panel GSIS preferred,,,,,,,,,,,,,,,,,,,,,,,False,high_exact_espn_id_to_gsis_id,blank/NA means unknown or not present; never interpret as numeric zero
00-0038542,00-0038542,4430807,2,Bijan Robinson,RB,ATL,espn_id_to_nflverse_gsis,1.0,False,False,ESPN Market Freeze origin/codex/espn-market-freeze-2026-08-31 + nflverse players,espn_2026_candidate_20260831T214508Z_6e169d4c54c0,draft-command:2,exact stable-ID match,False,False,bijanrobinson,Bijan Robinson,ATL,panel_gsis_to_nflverse_players,1.0,False,False,nflverse players + annual rosters; panel GSIS preferred,,,,,,,,,,,,,,,,,,,,,,,False,high_exact_espn_id_to_gsis_id,blank/NA means unknown or not present; never interpret as numeric zero
00-0036900,00-0036900,4362628,3,Ja'Marr Chase,WR,CIN,espn_id_to_nflverse_gsis,1.0,False,False,ESPN Market Freeze origin/codex/espn-market-freeze-2026-08-31 + nflverse players,espn_2026_candidate_20260831T214508Z_6e169d4c54c0,draft-command:3,exact stable-ID match,False,False,jamarrchase,Ja'Marr Chase,CIN,panel_gsis_to_nflverse_players,1.0,False,False,nflverse players + annual rosters; panel GSIS preferred,ESPN:QUESTIONABLE|NFLVERSE:ACT,QUESTIONABLE,,,False,False,False,,,uncertain_pending_official_week1_report,,,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2026/segments/0/leaguedefaults/1?view=kona_player_info,https://github.com/nflverse/nflverse-data/releases/download/players/players.csv|https://github.com/nflverse/nflverse-data/releases/download/rosters/roster_2026.csv,2026-08-31,2026-08-31T23:22:51.244996+00:00,medium_pre_week1_designation,False,True,Current overlay only; no production games adjustment or historical-table insertion is authorized.,3,4.3,True,high_exact_espn_id_to_gsis_id,blank/NA means unknown or not present; never interpret as numeric zero
00-0039075,00-0039075,4426515,4,Puka Nacua,WR,LAR,espn_id_to_nflverse_gsis,1.0,False,False,ESPN Market Freeze origin/codex/espn-market-freeze-2026-08-31 + nflverse players,espn_2026_candidate_20260831T214508Z_6e169d4c54c0,draft-command:4,exact stable-ID match,False,False,pukanacua,Puka Nacua,LAR,panel_gsis_to_nflverse_players,1.0,False,False,nflverse players + annual rosters; panel GSIS preferred,ESPN:QUESTIONABLE|NFLVERSE:ACT,QUESTIONABLE,,,False,False,False,,,uncertain_pending_official_week1_report,,,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2026/segments/0/leaguedefaults/1?view=kona_player_info,https://github.com/nflverse/nflverse-data/releases/download/players/players.csv|https://github.com/nflverse/nflverse-data/releases/download/rosters/roster_2026.csv,2026-08-31,2026-08-31T23:22:51.244996+00:00,medium_pre_week1_designation,False,True,Current overlay only; no production games adjustment or historical-table insertion is authorized.,4,5.28,True,high_exact_espn_id_to_gsis_id,blank/NA means unknown or not present; never interpret as numeric zero
00-0036223,00-0036223,4242335,6,Jonathan Taylor,RB,IND,espn_id_to_nflverse_gsis,1.0,False,False,ESPN Market Freeze origin/codex/espn-market-freeze-2026-08-31 + nflverse players,espn_2026_candidate_20260831T214508Z_6e169d4c54c0,draft-command:6,exact stable-ID match,False,False,jonathantaylor,Jonathan Taylor,IND,panel_gsis_to_nflverse_players,1.0,False,False,nflverse players + annual rosters; panel GSIS preferred,,,,,,,,,,,,,,,,,,,,,,,False,high_exact_espn_id_to_gsis_id,blank/NA means unknown or not present; never interpret as numeric zero
00-0038543,00-0038543,4430878,7,Jaxon Smith-Njigba,WR,SEA,espn_id_to_nflverse_gsis,1.0,False,False,ESPN Market Freeze origin/codex/espn-market-freeze-2026-08-31 + nflverse players,espn_2026_candidate_20260831T214508Z_6e169d4c54c0,draft-command:7,exact stable-ID match,False,False,jaxonsmithnjigba,Jaxon Smith-Njigba,SEA,panel_gsis_to_nflverse_players,1.0,False,False,nflverse players + annual rosters; panel GSIS preferred,,,,,,,,,,,,,,,,,,,,,,,False,high_exact_espn_id_to_gsis_id,blank/NA means unknown or not present; never interpret as numeric zero
00-0033280,00-0033280,3117251,5,Christian McCaffrey,RB,SF,espn_id_to_nflverse_gsis,1.0,False,False,ESPN Market Freeze origin/codex/espn-market-freeze-2026-08-31 + nflverse players,espn_2026_candidate_20260831T214508Z_6e169d4c54c0,draft-command:5,exact stable-ID match,False,False,christianmccaffrey,Christian McCaffrey,SF,panel_gsis_to_nflverse_players,1.0,False,False,nflverse players + annual rosters; panel GSIS preferred,ESPN:QUESTIONABLE|NFLVERSE:ACT,QUESTIONABLE,,,False,False,False,,,uncertain_pending_official_week1_report,,,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2026/segments/0/leaguedefaults/1?view=kona_player_info,https://github.com/nflverse/nflverse-data/releases/download/players/players.csv|https://github.com/nflverse/nflverse-data/releases/download/rosters/roster_2026.csv,2026-08-31,2026-08-31T23:22:51.244996+00:00,medium_pre_week1_designation,False,True,Current overlay only; no production games adjustment or historical-table insertion is authorized.,7,7.66,True,high_exact_espn_id_to_gsis_id,blank/NA means unknown or not present; never interpret as numeric zero
00-0036963,00-0036963,4374302,8,Amon-Ra St. Brown,WR,DET,espn_id_to_nflverse_gsis,1.0,False,False,ESPN Market Freeze origin/codex/espn-market-freeze-2026-08-31 + nflverse players,espn_2026_candidate_20260831T214508Z_6e169d4c54c0,draft-command:8,exact stable-ID match,False,False,amonrastbrown,Amon-Ra St. Brown,DET,panel_gsis_to_nflverse_players,1.0,False,False,nflverse players + annual rosters; panel GSIS preferred,,,,,,,,,,,,,,,,,,,,,,,False,high_exact_espn_id_to_gsis_id,blank/NA means unknown or not present; never interpret as numeric zero
00-0037248,00-0037248,4379399,9,James Cook III,RB,BUF,espn_id_to_nflverse_gsis,1.0,False,False,ESPN Market Freeze origin/codex/espn-market-freeze-2026-08-31 + nflverse players,espn_2026_candidate_20260831T214508Z_6e169d4c54c0,draft-command:9,exact stable-ID match,False,False,jamescook,James Cook,BUF,panel_gsis_to_nflverse_players,1.0,False,False,nflverse players + annual rosters; panel GSIS preferred,,,,,,,,,,,,,,,,,,,,,,,False,high_exact_espn_id_to_gsis_id,blank/NA means unknown or not present; never interpret as numeric zero
00-0039040,00-0039040,4429160,12,De'Von Achane,RB,MIA,espn_id_to_nflverse_gsis,1.0,False,False,ESPN Market Freeze origin/codex/espn-market-freeze-2026-08-31 + nflverse players,espn_2026_candidate_20260831T214508Z_6e169d4c54c0,draft-command:12,exact stable-ID match,False,False,devonachane,De'Von Achane,MIA,panel_gsis_to_nflverse_players,1.0,False,False,nflverse players + annual rosters; panel GSIS preferred,,,,,,,,,,,,,,,,,,,,,,,False,high_exact_espn_id_to_gsis_id,blank/NA means unknown or not present; never interpret as numeric zero
